run_name,architecture,total_requests,completed_requests,total_duration_sec,throughput_req_per_sec,p50_latency_sec,p95_latency_sec,p99_latency_sec,avg_queue_wait_sec,retries,timeouts,crashes,api_429_errors,max_active_workers
run_16_queue_based_TB_W2,queue_based,10,10,198.170016,0.0504617207075363,13.497823,30.0827189,30.084162980000002,0.0001715714285714286,0,0,0,0,2
run_16_queue_based_TB_W2,queue_based,10,10,269.579752,0.03709477409119362,30.0838535,30.106289349999997,30.107610670000003,0.00023804761904761907,0,0,0,0,2
run_17_swarm_TB_W2,swarm,10,10,24.534297,0.4075926854557928,2.455082,2.7701129000000004,2.7909521799999992,0.0,0,0,0,0,1
run_17_swarm_TB_W2,swarm,10,10,22.219221,0.4500607829590425,2.224951,2.4883769,2.51644978,0.0,0,0,0,0,1
run_17_swarm_TB_W2,swarm,10,10,25.666676,0.38961024793393584,2.3402789999999998,6.0978269,7.151592580000002,0.0,0,0,0,0,2
run_18_queue_based_TA_W4_straggler,queue_based,10,16,781.538941,0.020472428385369477,84.547933,101.23023654999999,108.73679530999998,21.670692484162895,0,0,0,0,4
run_18_queue_based_TA_W4_straggler,queue_based,10,19,803.41273,0.023649114944942432,82.513192,86.549948,86.549948,21.193663184407797,0,0,0,0,4
run_18_queue_based_TA_W4_straggler,queue_based,10,20,846.397223,0.023629567130562287,85.0813545,88.499774,88.499774,22.54874292835821,0,0,0,0,4
run_19_queue_based_TA_W4_straggler,queue_based,10,20,814.148971,0.024565528806643915,80.761703,88.688182,88.68818200000001,21.00551477313433,0,0,0,0,4
run_19_queue_based_TA_W4_straggler,queue_based,10,20,843.247668,0.02371782426322702,83.393855,89.835462,89.835462,22.410317894029852,0,0,0,0,4
run_19_queue_based_TA_W4_straggler,queue_based,10,20,823.470415,0.024287454212911827,81.0684945,93.49366074999998,93.49408494999997,21.39796831492537,0,0,0,0,4
run_20_master_worker_TB_W2_straggler,master_worker,10,10,52.630157,0.19000513336868824,5.2117775,5.7171197000000005,5.792749539999999,0.0002,0,0,0,0,1
run_20_master_worker_TB_W2_straggler,master_worker,10,10,52.980885,0.1887473189623012,5.3486355,5.5484057,5.55081074,0.0002004,0,0,0,0,1
run_20_master_worker_TB_W2_straggler,master_worker,10,10,53.952096,0.1853496108844409,5.3702365,6.059618350000001,6.20452047,0.0006008,0,0,0,0,1
run_21_queue_based_TB_W2_straggler,queue_based,10,10,300.829944,0.03324137174323311,30.079779000000002,30.0950663,30.09518686,9.990000000000002e-05,0,0,0,0,1
run_21_queue_based_TB_W2_straggler,queue_based,10,10,300.81017,0.033243556891710144,30.0793945,30.1101261,30.116866020000003,0.0001001,0,0,0,0,1
run_21_queue_based_TB_W2_straggler,queue_based,10,10,300.854813,0.03323862397375042,30.0845845,30.103217049999998,30.10408341,0.00020020000000000001,0,0,0,0,1
run_22_master_worker_TA_W4_crash,master_worker,10,10,0.949161,10.535620405811027,0.0004985,0.00100145,0.00100189,0.0,0,0,0,0,0
run_22_master_worker_TA_W4_crash,master_worker,10,10,0.940557,10.631997848083635,0.0005,0.0010039,0.00100478,0.0,0,0,0,0,0
run_22_master_worker_TA_W4_crash,master_worker,10,10,0.915682,10.920821857369699,0.0009995,0.0010039,0.00100478,0.0,0,0,0,0,0
run_23_queue_based_TA_W4_crash,queue_based,10,10,0.954153,10.480499458682203,0.0004995,0.0010160500000000001,0.0010200100000000002,0.0,0,0,0,0,0
run_23_queue_based_TA_W4_crash,queue_based,10,10,0.945994,10.570891570136808,0.0,0.0010084500000000001,0.0010088899999999997,0.0,0,0,0,0,0
run_23_queue_based_TA_W4_crash,queue_based,10,10,0.923126,10.832757391732006,0.0,0.0010019,0.00100278,0.0,0,0,0,0,0
run_24_master_worker_TA_W4_crash,master_worker,10,10,246.182703,0.04062023805141176,24.565817,25.61813445,25.72163169,10.86956330625,0,0,0,0,3
run_24_master_worker_TA_W4_crash,master_worker,10,10,249.576446,0.040067883649565234,25.146025,25.560643149999997,25.60472543,10.838321265625,0,0,0,0,3
run_24_master_worker_TA_W4_crash,master_worker,10,10,246.455858,0.040575217327558914,24.590866,25.237112349999997,25.26706007,10.919756390625,0,0,0,0,3
run_25_queue_based_TA_W4_crash,queue_based,10,20,828.592311,0.024137322703203314,82.775278,88.2402,88.2402,21.607783408955225,0,0,0,0,3
run_25_queue_based_TA_W4_crash,queue_based,10,20,824.918513,0.024244818954620797,83.23303899999999,87.09105200000002,87.09105200000002,21.455708519402986,0,0,0,0,3
run_25_queue_based_TA_W4_crash,queue_based,10,20,826.259984,0.024205456378485344,82.9293045,85.064423,85.06442300000002,21.48909122089552,0,0,0,0,3
